source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_bp_rp_excess_factor,x,y,z,labels,vt_alpha,vt_delta
3423686695577905408,90.74775287208733,22.12463100619435,13.602220567212784,0.027163174,19.133697582019785,0.02394307,-38.581941801279726,0.018870492,,,14.028327,15.400901,12.873191,46090.99911692565,30.99131,9441.83405033521,25.717901,56218.82612729187,96.77536,1.4245875,-72.82737,-10.048622,-0.092068955,-1,6.66822939548187,-13.446080526318532
3397718189434224384,83.72715710010908,18.12253121084029,9.409641564360857,0.021575352,22.359775086295574,0.020102857,-23.295125444370917,0.012824675,10.263178,0.3284511,9.0317335,9.287489,8.611859,4594658.536981727,846.92175,2632820.697490253,999.9038,2847176.4198994893,1010.61414,1.1926887,-104.2903,-14.514194,-14.388496,-1,11.264600380603477,-11.735819252837613
3391170490315215104,81.30012384234391,16.51644783079542,18.94266591482449,0.039829135,52.02681578594489,0.04600618,-27.866780832711235,0.031260367,,,15.386074,17.261246,14.090241,13198.270881308386,10.302765,1701.8391266579054,10.5656,18325.743017048728,23.299088,1.5174398,-51.37979,-7.261586,-9.70894,0,13.019898115106974,-6.973762313855332
3295377880503113216,74.76339168430074,12.262400542343775,22.446288489138322,0.031041253,86.26740002504683,0.037297066,-18.595565233818192,0.026759155,,,15.046155,16.946203,13.748304,18050.31023704519,13.04037,2274.761105214731,10.215037,25109.413122636448,31.682322,1.5171027,-41.893864,-5.9634957,-13.932488,0,18.21896107686499,-3.927229510787074
3292663564251652608,70.21731447772568,9.087582929941526,22.405532749019123,0.029280003,99.09717155355074,0.03744038,-4.953315603889033,0.023015851,,,14.790501,16.545158,13.52788,22842.647488736657,14.019418,3291.195158605684,10.465596,30761.403459444344,33.778458,1.4907466,-40.45125,-5.811416,-17.942251,0,20.966571682786473,-1.048002128095885
3293176074109393152,71.90507646634718,10.232966757085512,18.916645295051254,0.019420149,81.24595285604266,0.021374062,-8.063240019228513,0.015448286,,,13.719419,15.214689,12.526278,61260.35053764016,46.39394,11208.337480759581,53.162502,77383.31548761296,145.75894,1.44615,-48.62174,-6.99789,-19.532162,0,20.36006007548402,-2.0206305104873845
3286461936417942656,68.67275776769344,7.981594004985357,9.565317995095313,0.1774118,46.215260241228,0.20681706,-2.77007619872379,0.14269052,,,18.065317,20.107855,16.593311,1118.9728073552433,1.5109069,123.67295331298804,5.6600294,1827.4013185461151,8.356114,1.7436297,-93.32554,-13.4514,-45.154472,-1,22.90379403112099,-1.3728204574618323
3391412696406805504,76.813346477293,13.378445800211878,6.857444380850059,0.045026835,24.023445975542636,0.05582263,-10.305418475734776,0.04133117,,,15.96389,17.49838,14.760099,7751.586368035301,5.5330377,1367.9333256256525,11.495414,9888.230235865129,16.048063,1.452111,-138.74823,-20.248041,-40.055412,-1,16.607124787053973,-7.124014214429252
3423558323297985664,92.23051288934029,22.30310231519815,4.838319295055266,0.018412089,5.695274657027409,0.020026602,-15.469310478911819,0.015607492,38.03532,0.5307046,11.522977,11.87135,11.008257,463186.50176000077,88.428276,243711.92691915465,140.88095,313224.23106048204,111.32398,1.2024015,-204.4356,-30.082235,4.3760405,-1,5.5800949224456255,-15.156463218257628
3391006113328069632,80.50667117915467,15.581745823066614,17.004320226025698,0.09126284,49.05312667345959,0.09313217,-22.98093140269625,0.061167605,,,16.596548,18.718422,15.239785,4328.3990997563615,3.9500027,444.68068417947165,10.250274,6356.881706688883,11.683781,1.5713806,-56.955933,-8.436941,-11.97035,0,13.675047983810785,-6.406632175285371
3294522907134516864,73.09978874091365,10.719381699362312,19.240903920100344,0.024458895,79.12718852935028,0.028421968,-9.106933861730056,0.017726801,41.988266,0.8427157,11.950686,12.976039,10.934982,312371.98941725306,185.50513,88105.12561087568,169.03456,335093.0426488211,385.42783,1.3547891,-48.168182,-7.178443,-18.150717,0,19.4949310394274,-2.2437173734436424
3388903709655616640,78.48913613131467,13.934239129993578,11.56136816387105,0.086700976,38.1294026020408,0.09527804,-13.451967431814719,0.06831515,,,16.74316,18.857952,15.378814,3781.663872545348,4.6252303,391.05347451287287,11.17895,5592.84177723847,20.113995,1.5823445,-82.84689,-12.756,-21.331993,0,15.634075642491874,-5.515666703838473
3292367795624174592,70.42949731730504,8.43925094633216,23.548649842224286,0.02286078,106.63285937227585,0.025912726,-1.7565389515287957,0.018813737,,,14.075531,15.840399,12.801109,44130.052221835336,35.204334,6298.795698599459,42.591087,60077.88411016393,121.24324,1.5041151,-38.357098,-5.998134,-17.20626,0,21.465770517987806,-0.3536007780471028
3292367795624174720,70.43002416113113,8.438083848868219,23.63704995833705,0.041213203,101.27333560398714,0.048341203,-1.027946753379355,0.03470353,,,15.474341,17.592571,14.119452,12167.749079175923,7.078097,1254.2621504536298,8.841169,17839.282762867704,23.759443,1.5691929,-38.213432,-5.976607,-17.14207,0,20.310624658583354,-0.20615733205962905
3292227607891547264,69.77608805537724,7.870986341030237,20.630723833671894,0.091687545,94.83053442527412,0.10412651,-0.16158987018977522,0.058891114,,,5.3237796,5.4469066,5.107708,1.397767387730617E8,69529.62,9.050120271479227E7,75161.86,7.179183301322386E7,93988.89,1.1610876,-43.474785,-6.8819537,-20.299213,0,21.78989671343891,-0.03712967139447844
3398962321202869888,88.89011099229172,19.75819997404195,10.991207576828785,0.029975222,15.95013026979231,0.033756986,-24.286944957342968,0.021869157,,,14.5946455,16.034464,13.420102,27358.255231156665,17.737646,5267.8278685569785,23.369633,33971.70991711641,47.044266,1.434285,-89.74656,-14.287527,-4.371805,0,6.879236871069085,-10.474876656813326
3397032128539658368,84.26576369858975,17.040178235439424,19.399284138278052,0.07467796,42.77076656923602,0.075041294,-33.50783635651984,0.0424089,,,5.479177,5.5893936,5.272908,1.2113675578997685E8,73034.35,7.937054571936668E7,75541.93,6.165877497581268E7,98539.625,1.1642158,-50.41115,-8.0969305,-7.098043,0,10.451599732317238,-8.188080822152731
884538382785801728,107.70425017042206,28.152199705618994,20.96724270368198,0.105809584,-35.09628608537471,0.12193224,-71.73991626570675,0.099342935,,,17.16171,19.659317,15.742802,2571.9503566571693,3.3817363,186.93472315264665,10.162161,3999.7917331613817,17.27393,1.6278411,-45.175285,-7.3293657,13.421564,-1,-7.934896719082407,-16.219631468106254
3292741835736351616,72.26746499296536,8.9812559160856,23.427727999784437,0.048390947,97.65540956082295,0.058270056,-6.347646418941507,0.043917704,,,15.953649,18.066488,14.610419,7825.052516573597,5.4204698,810.6284994803318,6.8785377,11349.85827482965,15.439318,1.5540454,-39.0042,-6.5409846,-16.057747,0,19.760028732927825,-1.2844109321627386
3377189482711996928,96.13498728095635,22.81523428639452,5.927435252216981,0.031478893,3.197939135114372,0.03436118,-18.85248853543009,0.025509374,,,14.76366,15.738203,13.786238,23414.382484399997,8.472042,6920.468390548807,10.565284,24247.27537209272,28.579811,1.3311367,-165.78755,-28.123838,13.623576,-1,2.5575540121406193,-15.077290609816385
3289865341519273088,72.98901248953675,9.281361109682107,24.396619593552956,0.037564397,98.74471490732638,0.04016641,-8.741502166565992,0.027472802,,,15.212082,17.161236,13.903033,15492.236522930758,8.679026,1866.047841936369,10.891817,21774.329620812034,21.326464,1.52595,-37.635,-6.421459,-14.91621,0,19.186936795879642,-1.6985481170142347
3396115651237421312,83.7346055503299,16.021434597085484,13.148056370442559,0.01895235,30.67771734441286,0.019356728,-18.484460641115884,0.013652936,45.225952,1.0165067,10.91075,11.488609,10.191239,814041.9333794211,193.84305,346715.3741948871,288.93124,664756.1864605459,385.43762,1.24253,-74.06344,-12.701778,-11.743891,0,11.060707903388824,-6.664486070059757
3374860648363971328,91.58460239967353,20.395608787842583,8.14546741339894,0.06283749,7.371350448056515,0.075567365,-21.400971160617285,0.053366076,,,16.468103,18.15345,15.22188,4871.980573628554,5.0237885,748.2329408060718,12.503719,6462.585920037862,15.520121,1.480059,-120.99506,-20.7805,-0.5141305,-1,4.289952538458117,-12.454861724850552
3291495436226226688,74.83294905196855,10.385966140615842,22.052773296647725,0.026223375,83.38904319009063,0.02653921,-10.520327494998384,0.02048551,42.91844,0.7290807,12.796742,14.112429,11.662646,143301.22431598997,82.26277,30934.678036053207,61.964806,171435.13721017117,150.52348,1.4121988,-42.196396,-7.2770076,-14.924753,0,17.925332365659283,-2.2614525809289936
3388509470313327104,78.72087003845698,12.888455042727797,20.430018420925673,0.061411515,63.000578956405974,0.07198009,-19.882355990452037,0.04851314,,,16.013683,18.066668,14.680628,7404.125691860088,8.121085,810.4934340397214,11.2837,10639.149475449352,24.270712,1.5463868,-46.66521,-8.048111,-12.387568,0,14.618311818055309,-4.6133937871765305
3289131211349599360,70.4456651596968,7.275704232882875,18.7624616664684,0.058729514,84.43014103326261,0.06313176,3.8979339779122784,0.046386622,,,14.504644,16.104662,13.261063,29722.752463812736,18.293419,4938.007740735589,17.931726,39330.84534896199,43.196213,1.4893928,-47.751083,-8.375814,-22.14378,0,21.331880195193094,0.9848409538110184
3291312951656888320,73.65783723269205,9.409052575511978,21.790936076305865,0.023778684,82.95944058231093,0.026928335,-8.301109148725672,0.019353885,,,14.629339,16.393286,13.364578,26497.88172491437,11.130425,3785.319270193768,12.468033,35754.18526792733,28.116175,1.492176,-42.27463,-7.426874,-16.237244,0,18.047263830424342,-1.805850013460014
3289809060267929856,73.48794697910253,9.266322304767634,24.821875976689526,0.03001132,95.89843914351451,0.034267705,-5.81083981673303,0.022023888,,,14.467955,16.26952,13.190065,30744.31779457312,16.683279,4242.371058199358,17.633171,41988.666800669234,45.109966,1.5037262,-37.055645,-6.527949,-14.398294,0,18.314639578126766,-1.1097515021118143
3283238344419794304,64.6817219964413,3.255042503502093,28.449979494971224,0.047141694,148.9222662315207,0.053180438,19.562897190439056,0.041689973,,,15.636705,17.809685,14.280363,10477.666062778411,8.658473,1026.9356787407846,15.932269,15382.006655986508,21.169903,1.5660876,-29.49627,-5.204788,-18.3946,0,24.81413370073705,3.259662633005118
3285426613077584384,68.02053657414086,5.410075628864494,23.10894339681868,0.02776059,112.17371246858417,0.034991827,7.755933147532206,0.021945577,41.469143,0.4672459,6.2678084,6.4707904,5.910935,5.85899890577341E7,13113.607,3.5245264903074384E7,20123.127,3.425975311622631E7,27065.348,1.1862952,-37.752075,-6.7560196,-20.042816,0,23.01083846562362,1.591019151283083
3398120778192146944,88.00073439643006,17.907318619647455,8.800894221456389,0.11010407,15.029003871236066,0.11043556,-18.012524895380906,0.08503282,,,17.239693,19.043665,15.955271,2393.699167583743,3.4491212,329.57266850788284,14.907075,3288.8934529325306,14.773548,1.5116628,-111.48958,-20.104647,-8.745058,0,8.095148765609219,-9.702177863658738
3283324415564687104,65.6049664654038,3.619031474442663,27.845612728089094,0.026153212,142.2672384849927,0.031735446,14.528847651749121,0.021993231,,,12.774416,14.296929,11.565582,146278.45458535483,107.1911,26100.284338585978,66.12668,187467.1213133031,227.73105,1.4600059,-30.418808,-5.511941,-18.275885,0,24.219744758840882,2.4734083933355295
3283285795218796800,65.26775202203277,3.2688529627551453,26.974226107528036,0.022428213,138.38330005236747,0.023091823,18.077258774536382,0.016200261,38.663525,0.74525,9.1538105,9.695439,8.462815,4106032.986463562,1397.6501,1808178.2388815072,2076.8535,3266120.3378096414,2553.1875,1.2358153,-31.234955,-5.7235065,-19.130705,0,24.31958326209358,3.176910795965861
3291734202048545792,76.47570498154313,10.580747630181266,23.463164932645917,0.023143861,79.53241946077799,0.028724078,-11.32210678168706,0.020480394,,,13.798727,15.242338,12.526227,56945.02216743715,41.935555,10926.511881393444,259.81516,77386.86926331808,484.68634,1.5508534,-39.90235,-7.4326324,-13.000865,0,16.06863700513082,-2.2875052116071974
3288997483247358592,71.97558693693884,7.370717968802273,17.282316636460603,0.032005344,73.7584367629328,0.035908706,1.1953510458114487,0.026306668,,,15.164682,16.93994,13.895622,16183.54564517882,8.417928,2287.919471928275,11.786302,21923.474386212067,26.60443,1.49605,-52.227943,-9.95525,-22.83018,0,20.23164449419338,0.32788001571059716
3382242254038229504,98.84398131302507,22.53137879794159,12.45302941345126,0.02987864,-3.445503976774293,0.031014122,-33.815220105546516,0.025172194,,,14.991804,16.30784,13.781599,18976.885668151845,12.377341,4095.2561843691424,16.304266,24351.09385396771,36.69506,1.499,-78.27679,-15.251159,9.408368,-1,-1.311593273628523,-12.872373834328096
3291151392166490496,75.16576285754407,9.126089884982298,17.754113434373767,0.07814546,66.18387859425634,0.09352147,-4.0507231567772894,0.0685094,,,16.595476,18.854254,15.226371,4332.676729432118,6.3523936,392.3879085644153,18.321054,6435.908122639383,26.534746,1.5759994,-52.058342,-10.205032,-18.928526,0,17.671550798240823,-1.0815709437858854
